Culture,Fungus,Lichen
neg10004,neg10004,neg10004
neg10012,neg10012,neg10012
neg10022,neg10022,neg10022
neg10024,neg10024,neg10024
neg10028,neg10025,neg10025
neg10045,neg10028,neg10028
neg10052,neg10037,neg10037
neg10074,neg10045,neg10045
neg10085,neg10052,neg10052
neg10106,neg10074,neg10063
neg1011,neg10085,neg10074
neg10116,neg10106,neg10085
neg10127,neg1011,neg10086
neg10141,neg10116,neg10104
neg10149,neg10127,neg10106
neg10170,neg10141,neg1011
neg10173,neg10149,neg10116
neg10175,neg10170,neg10127
neg10194,neg10173,neg10141
neg10199,neg10175,neg10149
neg10242,neg10194,neg1015
neg10244,neg10242,neg10170
neg10250,neg10244,neg10173
neg10255,neg10250,neg10175
neg10262,neg10255,neg10194
neg10266,neg10262,neg10199
neg10278,neg10266,neg10242
neg1029,neg10277,neg10244
neg10291,neg10278,neg10250
neg1030,neg10286,neg10255
neg10303,neg1029,neg10262
neg10309,neg10291,neg10266
neg1031,neg1030,neg10277
neg10315,neg10303,neg10278
neg10321,neg10309,neg10286
neg10349,neg1031,neg1029
neg10357,neg10315,neg10291
neg10358,neg10321,neg1030
neg10362,neg10349,neg10303
neg10364,neg10357,neg10309
neg10365,neg10358,neg1031
neg10369,neg10364,neg10315
neg10370,neg10365,neg10321
neg10375,neg10369,neg10349
neg10376,neg10370,neg10357
neg10377,neg10375,neg10358
neg10380,neg10376,neg10362
neg10390,neg10377,neg10364
neg10394,neg10382,neg10365
neg10401,neg10389,neg10369
neg10402,neg10390,neg10370
neg10403,neg10395,neg10371
neg10404,neg10401,neg10374
neg10405,neg10402,neg10375
neg10407,neg10403,neg10376
neg10417,neg10404,neg10377
neg10422,neg10405,neg10378
neg10425,neg10407,neg10380
neg10431,neg10417,neg10382
neg10433,neg10422,neg10386
neg10442,neg10425,neg10389
neg10451,neg10431,neg10390
neg10454,neg10442,neg10391
neg10460,neg10451,neg10394
neg10465,neg10454,neg10395
neg10468,neg10460,neg10401
neg10471,neg10465,neg10402
neg10473,neg10468,neg10403
neg10478,neg10471,neg10404
neg10481,neg10473,neg10405
neg10485,neg10487,neg10407
neg10487,neg105,neg10417
neg105,neg10502,neg10422
neg10502,neg10514,neg10425
neg10514,neg10517,neg10431
neg10517,neg1052,neg10433
neg1052,neg10521,neg10442
neg10521,neg10523,neg10451
neg10523,neg10528,neg10454
neg10528,neg10542,neg10460
neg10542,neg10550,neg10465
neg10550,neg10556,neg10468
neg10556,neg10557,neg10471
neg10557,neg10560,neg10473
neg10560,neg10561,neg10478
neg10561,neg10563,neg10481
neg10563,neg10571,neg10485
neg10571,neg10572,neg10487
neg10572,neg10574,neg105
neg10574,neg10579,neg10502
neg10579,neg1059,neg10514
neg1059,neg10600,neg10517
neg10600,neg10609,neg1052
neg10609,neg1061,neg10521
neg1061,neg10612,neg10523
neg10612,neg10614,neg10528
neg10614,neg10622,neg10542
neg10622,neg10626,neg10550
neg10626,neg10629,neg10556
neg10629,neg10641,neg10557
neg10630,neg10642,neg10560
neg10641,neg10647,neg10561
neg10642,neg1065,neg10563
neg10647,neg1067,neg10571
neg1065,neg10678,neg10572
neg1067,neg10679,neg10574
neg10678,neg1068,neg10579
neg10679,neg10702,neg1059
neg1068,neg10703,neg10600
neg10702,neg1071,neg10609
neg10703,neg10718,neg1061
neg1071,neg10728,neg10612
neg10718,neg1073,neg10614
neg10728,neg10732,neg10622
neg1073,neg1075,neg10626
neg10732,neg10754,neg10629
neg1075,neg10767,neg10630
neg10754,neg1077,neg10641
neg10767,neg10772,neg10642
neg1077,neg10774,neg10647
neg10772,neg10779,neg1065
neg10774,neg1078,neg1067
neg10779,neg10788,neg10678
neg1078,neg1079,neg10679
neg10788,neg10792,neg1068
neg1079,neg10793,neg10702
neg10792,neg10804,neg10703
neg10793,neg10805,neg1071
neg10801,neg10806,neg10718
neg10804,neg10815,neg10728
neg10805,neg10816,neg1073
neg10806,neg10825,neg10732
neg10815,neg10840,neg1075
neg10816,neg10846,neg10754
neg10825,neg10856,neg10767
neg10840,neg10868,neg1077
neg10846,neg1087,neg10772
neg10856,neg1088,neg10774
neg10868,neg1089,neg10779
neg1087,neg10898,neg1078
neg1088,neg10912,neg10788
neg1089,neg10914,neg1079
neg10898,neg10921,neg10792
neg10912,neg10932,neg10793
neg10914,neg10936,neg10801
neg10921,neg10941,neg10804
neg10932,neg10958,neg10805
neg10936,neg10960,neg10806
neg10941,neg10976,neg10815
neg10958,neg1098,neg10816
neg10960,neg10985,neg10825
neg10976,neg11013,neg10840
neg1098,neg11022,neg10846
neg10985,neg1103,neg10856
neg11013,neg11031,neg10868
neg11022,neg11038,neg1087
neg1103,neg11041,neg1088
neg11030,neg11084,neg1089
neg11031,neg11085,neg10898
neg11038,neg11113,neg10912
neg11041,neg11118,neg10914
neg11084,neg11120,neg10921
neg11085,neg11121,neg10932
neg11113,neg11138,neg10936
neg11118,neg11144,neg10941
neg11120,neg1115,neg10958
neg11121,neg11159,neg10960
neg11138,neg1116,neg10976
neg11144,neg11161,neg1098
neg1115,neg1117,neg10985
neg11159,neg11171,neg11013
neg1116,neg11176,neg11022
neg11161,neg1118,neg1103
neg1117,neg11186,neg11030
neg11171,neg11187,neg11031
neg11176,neg11189,neg11038
neg1118,neg1119,neg11041
neg11186,neg11190,neg11084
neg11187,neg11193,neg11085
neg11189,neg1120,neg11113
neg1119,neg11200,neg11118
neg11190,neg11212,neg11120
neg1120,neg11216,neg11121
neg11200,neg1122,neg11138
neg11212,neg11227,neg11144
neg11213,neg11232,neg1115
neg11216,neg11233,neg11159
neg1122,neg11238,neg1116
neg11227,neg1124,neg11161
neg11232,neg11241,neg1117
neg11233,neg11242,neg11171
neg11238,neg1125,neg11176
neg1124,neg11252,neg1118
neg11241,neg11254,neg11186
neg11242,neg1126,neg11187
neg1125,neg11265,neg11189
neg11252,neg1127,neg1119
neg11254,neg11275,neg11190
neg1126,neg1128,neg11193
neg11265,neg1129,neg1120
neg1127,neg11302,neg11200
neg11275,neg11305,neg11212
neg1128,neg1131,neg11213
neg11289,neg1133,neg11216
neg1129,neg1134,neg1122
neg11302,neg11341,neg11227
neg11305,neg11344,neg11232
neg1131,neg11346,neg11233
neg1133,neg1135,neg11238
neg1134,neg1137,neg1124
neg11341,neg11370,neg11241
neg11344,neg1138,neg11242
neg11346,neg1139,neg1125
neg1135,neg1140,neg11252
neg1137,neg11401,neg11254
neg11370,neg11407,neg1126
neg1138,neg11417,neg11265
neg1139,neg1142,neg1127
neg1140,neg11428,neg11275
neg11401,neg1145,neg1128
neg11402,neg1146,neg11289
neg11407,neg11480,neg1129
neg11417,neg11493,neg11302
neg1142,neg1150,neg11305
neg11428,neg11508,neg1131
neg1145,neg1151,neg1133
neg1146,neg11510,neg1134
neg11480,neg11519,neg11341
neg11493,neg11532,neg11344
neg1150,neg11544,neg11346
neg11508,neg1157,neg1135
neg1151,neg11605,neg1137
neg11510,neg1161,neg11370
neg11519,neg11617,neg1138
neg11532,neg11619,neg1139
neg11544,neg1162,neg1140
neg1157,neg11621,neg11401
neg11584,neg11622,neg11402
neg11605,neg11629,neg11407
neg1161,neg1163,neg11417
neg11617,neg11633,neg1142
neg11619,neg11639,neg11428
neg1162,neg11645,neg1145
neg11621,neg11648,neg1146
neg11622,neg1165,neg11480
neg11629,neg11650,neg11493
neg1163,neg11651,neg1150
neg11633,neg11654,neg11508
neg11639,neg11672,neg1151
neg11645,neg1168,neg11510
neg11648,neg11689,neg11519
neg1165,neg1169,neg11532
neg11650,neg11692,neg11544
neg11651,neg11709,neg1157
neg11654,neg1171,neg11584
neg11672,neg11714,neg11605
neg1168,neg11716,neg1161
neg11689,neg11729,neg11617
neg1169,neg1173,neg11619
neg11692,neg11737,neg1162
neg11709,neg1175,neg11621
neg1171,neg11755,neg11622
neg11714,neg11764,neg11625
neg11716,neg1178,neg11629
neg11729,neg1179,neg1163
neg1173,neg1182,neg11633
neg11737,neg11822,neg11639
neg1175,neg11828,neg11645
neg11755,neg11829,neg11648
neg11764,neg11845,neg1165
neg1178,neg1185,neg11650
neg1179,neg11861,neg11651
neg1182,neg11866,neg11654
neg11822,neg1187,neg11672
neg11829,neg1188,neg1168
neg11845,neg1189,neg11689
neg1185,neg1190,neg1169
neg11861,neg1191,neg11692
neg11866,neg1192,neg11709
neg1187,neg11925,neg1171
neg1188,neg11927,neg11714
neg1189,neg1193,neg11716
neg1190,neg11935,neg11718
neg1191,neg1194,neg11729
neg1192,neg11941,neg1173
neg11925,neg11946,neg11737
