"","C-FOMI-AGAR-POT-63-16S","C-FOMI-AGAR-POT-64-16S","C-PENI-AGAR-OAT-65-16S","C-PENI-AGAR-OAT-66-16S","C-PENI-AGAR-POT-56-16S","C-PENI-AGAR-POT-57-16S","C-PENI-AGAR-POT-62-16S","C-UNKN-AGAR-OAT-50-16S","C-UNKN-AGAR-OAT-52-16S","C-UNKN-AGAR-OAT-59-16S","C-UNKN-AGAR-OAT-60-16S","C-UNKN-AGAR-OAT-61-16S","C-UNKN-AGAR-POT-55-16S","C-UNKN-AGAR-POT-67-16S","F-MSUB-WOOD-EPB-20-16S","F-MSUB-WOOD-EPB-22-16S","F-MSUB-WOOD-SAB-28-16S","L-CBRA-BARK-BOJ-02-16S","L-CFUR-BARK-BOJ-01-16S","L-CFUR-BARK-BOJ-11-16S","L-CFUR-BARK-BOJ-12-16S","L-CFUR-WOOD-BOJ-15-16S","L-CSTE-BARK-UKN-42-16S","L-CSTE-WOOD-EPB-39-16S","L-CTRI-BARK-BOJ-06-16S","L-CTRI-BARK-BOJ-08-16S","L-CTRI-BARK-BOJ-21-16S","L-CTRI-BARK-BOJ-36-16S","L-CTRI-BARK-BOJ-46-16S","L-CTRI-WOOD-BOJ-26-16S"
"ASV31",0,0,0,0,4.46025900284941,0,0,0,6.77432402130353,0,0,0,0,0,6.00630340068879,0,0,0,0,0,0,0,0,0,9.69366103625994,0,3.56003749062429,0,0,4.72833596520326
"ASV33",0,0,0,0,0,0,4.38064452946185,0,0,0,0,0,0,0,0,0,0,10.0272582914737,7.75107063881616,4.38368958166871,0,5.75336636868146,0,0,5.33072268808443,5.48440388579879,0,0,0,0
"ASV35",0,0,0,0,0,0,4.29978489623515,0,0,0,0,0,0,0,0,0,0,10.0737834373595,7.75866982747298,4.66823649463597,0,5.69110118014906,0,0,5.01233244663676,0,0,0,0,0
"ASV39",0,0,0,0,0,0,3.40753382560632,0,0,0,0,0,0,0,0,0,0,9.96279467814027,7.64025203225968,4.12608165672493,5.24765407458025,5.62602691645428,0,0,4.6692126986763,0,0,0,0,0
"ASV63",4.90959459850787,7.09085653941482,3.69318501154661,4.12608165672493,5.92354800015198,2.60671215218126,4.29978489623515,5.58940372880211,5.92151468248328,2.60582003835657,3.2471928104918,4.53296798524737,5.15746358935306,5.44824726802765,4.67202611178137,5.83801599418467,6.14845607558763,0,0,0,0,0,0,0,4.46123284417427,0,0,6.35997593064603,0,3.68734844491572
"ASV64",0,0,0,0,0,0,3.40753382560632,0,0,0,0,0,0,0,0,0,0,9.41873741780296,7.06082792426868,4.53296798524737,0,5.69110118014906,0,0,0,0,0,0,0,0
"ASV65",0,0,0,0,0,0,3.68734844491572,0,0,0,0,0,0,0,0,0,0,9.45434090005433,6.86351895879407,4.12608165672493,0,5.20372900633375,0,0,4.21813031247312,0,0,0,0,0
"ASV66",0,0,0,0,0,0,3.80921976869313,0,0,0,0,0,0,0,0,0,0,9.29851600896007,7.27732677181173,4.66823649463597,4.96147799088479,5.24765407458025,0,0,3.24814374828883,0,0,0,0,0
"ASV67",0,0,0,0,0,0,3.24421653788547,0,0,0,0,0,0,0,0,0,0,9.38223301635254,7.10918467263696,4.12608165672493,0,5.78351936044718,0,0,3.24814374828883,0,0,0,0,0
"ASV69",0,0,0,0,0,0,2.84873795337134,0,0,0,0,0,0,0,0,0,0,9.42592875244311,7.12102478004619,3.0629611624422,0,5.29028112827007,0,0,3.41147868947068,0,0,0,0,0
"ASV74",0,0,0,0,0,0,5.32666776331005,7.13175891573641,5.48237530309777,0,0,4.12608165672493,7.67378218373633,0,0,7.88004067954717,0,0,0,0,0,0,0,0,0,5.48440388579879,0,4.45721094906755,0,0
"ASV76",0,0,0,0,0,0,3.68734844491572,0,0,0,0,0,0,0,0,0,0,9.26415496940419,7.15597300502013,4.12608165672493,0,4.53489771515033,0,0,3.69131941685597,0,0,0,0,0
"ASV77",0,0,0,0,0,0,3.68734844491572,0,0,0,0,0,0,0,0,0,0,9.07278887332243,6.86351895879407,4.12608165672493,0,5.59235487073633,6.30486694455326,0,3.41147868947068,0,0,0,0,0
"ASV78",0,0,0,0,0,0,3.40753382560632,0,0,0,0,0,0,0,0,0,0,9.26682737738629,7.09724658916754,4.02886234577662,0,5.33168468872433,0,0,0,0,0,0,0,0
"ASV80",0,0,0,0,0,0,3.40753382560632,0,0,0,0,0,0,0,0,0,0,9.26949484422491,6.74610072703381,4.12608165672493,0,4.67016919007581,0,0,4.12705092677855,0,0,0,0,0
"ASV81",0,0,0,0,0,0,3.92158962618573,0,0,0,0,0,0,5.06234946917464,0,0,0,0,8.85274182912681,5.20178695471371,5.97859558581311,5.72256967030509,6.12802812300938,0,0,3.0629611624422,0,0,0,5.5175340666323
"ASV82",0,0,3.69318501154661,4.60218723558553,5.92354800015198,4.03170771161728,4.29978489623515,5.83904306578555,5.92151468248328,3.24907549934226,4.21715969204709,4.60218723558553,5.41012638739861,5.84103324272485,5.29214819899053,6.75927216457009,0,0,0,0,0,0,0,0,5.06234946917464,0,0,6.74300856236704,0,2.84873795337134
"ASV83",0,0,0,0,6.79125980739303,0,0,0,6.91678859057751,0,0,0,8.05967153132807,5.06234946917464,0,3.92261923547629,0,0,0,0,0,0,0,0,0,0,0,6.66445326661524,0,0
"ASV84",0,0,4.03170771161728,4.21715969204709,5.40914403727211,2.85443448339978,3.55421827542867,5.71961642736266,5.55390200947369,2.85353312709936,4.53296798524737,4.84997221013579,4.90677451143736,5.86940692169565,4.38746632135826,6.43866398279933,0,0,0,0,0,0,0,0,5.24669264337592,6.34298459849799,0,6.16832517563936,0,4.95647555395061
"ASV85",0,0,4.9624182292529,0,7.33945506211084,0,2.30176047618774,7.02245669409231,6.23612932016566,0,0,0,0,0,0,7.72598706465752,5.10971004193674,0,0,0,0,0,0,6.4416883713245,0,0,0,0,0,0
"ASV86",0,0,0,0,0,0,3.55421827542867,0,0,0,0,0,0,0,0,0,0,8.98787192860865,6.83504811368427,4.53296798524737,3.41241462209411,5.29028112827007,0,0,3.69131941685597,0,0,0,0,0
"ASV88",4.30659920568853,6.99075729769402,5.72351483689458,0,4.73139347292034,4.60505539129272,3.40753382560632,5.51960720636199,5.65495258729187,4.12800062864158,3.92461300970249,5.78157036061373,4.90677451143736,6.32360781824669,0,5.55390200947369,3.92461300970249,0,0,0,0,0,0,0,0,0,0,6.21316840394437,0,0
"ASV89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00717900733286,6.71518972961947,3.69035789326146,0,5.20372900633375,0,0,3.69131941685597,0,0,0,0,0
