"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"ASV31";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV33";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV35";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV39";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV63";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV64";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV65";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV66";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV67";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV69";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV74";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV76";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV77";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV78";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV80";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV81";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV82";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV83";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV84";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV85";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
"ASV86";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV88";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"ASV89";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV90";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV91";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"ASV92";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV94";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV97";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV101";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV102";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV103";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"Solirubrobacteraceae";"Conexibacter";NA
"ASV104";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV105";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV106";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV107";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"ASV108";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV109";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV110";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Bryocella";NA
"ASV111";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Granulicella";NA
