Culture,Fungus,Lichen
ASV1001,ASV1021,ASV1001
ASV101,ASV1022,ASV101
ASV1010,ASV1028,ASV102
ASV1012,ASV103,ASV1021
ASV1015,ASV105,ASV103
ASV1016,ASV1062,ASV1030
ASV102,ASV1063,ASV1032
ASV1021,ASV1064,ASV104
ASV1022,ASV1065,ASV1047
ASV1023,ASV107,ASV105
ASV1024,ASV1095,ASV1064
ASV1027,ASV110,ASV1065
ASV103,ASV111,ASV1066
ASV1035,ASV1120,ASV1067
ASV1036,ASV1122,ASV1068
ASV1037,ASV113,ASV1069
ASV104,ASV1145,ASV107
ASV1040,ASV115,ASV1070
ASV1042,ASV1154,ASV1071
ASV1043,ASV117,ASV1072
ASV1047,ASV1172,ASV108
ASV105,ASV1179,ASV1088
ASV1052,ASV119,ASV109
ASV1053,ASV121,ASV1094
ASV1055,ASV1243,ASV1096
ASV1057,ASV125,ASV1097
ASV1058,ASV1255,ASV1098
ASV106,ASV1256,ASV1099
ASV1061,ASV126,ASV110
ASV107,ASV1285,ASV1101
ASV1076,ASV130,ASV1102
ASV1077,ASV1303,ASV1103
ASV1078,ASV131,ASV111
ASV108,ASV1318,ASV1119
ASV1082,ASV1320,ASV112
ASV1088,ASV1339,ASV1120
ASV1089,ASV134,ASV1123
ASV109,ASV1353,ASV1124
ASV1091,ASV1354,ASV1125
ASV1092,ASV1355,ASV1126
ASV1093,ASV1356,ASV1128
ASV1094,ASV1357,ASV113
ASV110,ASV1358,ASV1130
ASV1108,ASV138,ASV1145
ASV1109,ASV139,ASV115
ASV111,ASV1394,ASV1155
ASV1110,ASV1395,ASV1156
ASV1112,ASV1396,ASV116
ASV1117,ASV141,ASV117
ASV1118,ASV142,ASV1172
ASV1119,ASV1425,ASV1173
ASV112,ASV143,ASV118
ASV1120,ASV144,ASV1180
ASV1121,ASV1441,ASV1181
ASV113,ASV145,ASV1182
ASV1136,ASV1465,ASV1183
ASV1138,ASV1466,ASV1184
ASV1141,ASV147,ASV119
ASV1145,ASV148,ASV1198
ASV1146,ASV1495,ASV121
ASV1147,ASV151,ASV1210
ASV1149,ASV152,ASV1231
ASV115,ASV153,ASV1232
ASV1157,ASV1534,ASV1233
ASV1158,ASV1535,ASV1234
ASV1161,ASV1536,ASV1235
ASV1162,ASV1537,ASV1241
ASV1166,ASV1538,ASV1243
ASV1169,ASV156,ASV125
ASV117,ASV1568,ASV1255
ASV1170,ASV157,ASV1257
ASV1172,ASV1575,ASV126
ASV1173,ASV1576,ASV1281
ASV1176,ASV1577,ASV1286
ASV1177,ASV1578,ASV1287
ASV1178,ASV1579,ASV129
ASV119,ASV158,ASV1291
ASV1193,ASV160,ASV1292
ASV1195,ASV161,ASV1293
ASV1196,ASV163,ASV1294
ASV1197,ASV1642,ASV1295
ASV1198,ASV1643,ASV1296
ASV1199,ASV1644,ASV1297
ASV1200,ASV165,ASV130
ASV1201,ASV1684,ASV1303
ASV1203,ASV169,ASV131
ASV121,ASV172,ASV1320
ASV1221,ASV1732,ASV1321
ASV1224,ASV1733,ASV1322
ASV1225,ASV175,ASV1323
