Compound,Atranorin,Baeomycesic acid,Barbatic acid,Caftaric acid,Cantharidin,Chloroatranorin,Colensoic acid,Ethanone,Evernic acid,Gyrophoric acid,Isousnic acid,Lecanoric acid,Lobaric acid,Obtusatic acid,Ovoic acid,Perlatolic acid,Physodalic acid,Physodic acid,Proatranorin III,Protocetraric acid,Psoromic acid,Pulvinic acid,Pulvinic acid dilactone,Pyridoxic acid,Squamatic acid,Thamnolic acid,Umbilicaric acid,Usnic acid,Vulpinic acid
C. brachypoda,31191862,14122,323890,16695,390155,916688,1177260,14719,289297,316290,119551,348552,1311215,620081,0,2989924,21448,1667354,855128,182207,0,282292876,326460752,178092,238603,0,0,643223,1503019
C. furfuracea (1),351929977,10292761,1280783976,88428,300601,4345184,1251413,47782,12744715,2229221,4486738,4393631,1945885,6251291,0,1507519,10229,890394,2184138,902078,6393,976296,4331987091,519280,172806,7727140,12285,23374086,11744771
C. furfuracea (2),1043404809,9769699,973707912,190850,13288297,4576866,6124766,208452,65257813,306402,0,5576254,19406618,119061,0,520815,0,185210,3135337,1391939,0,8538886,2888131783,407953,49810,8782914,0,27111,8237520
C. furfuracea (3),217852038,410584,9204343,193344,494286,4083359,2101576,38296,3698589,1188782,4008,1206074,374149707,1012502,0,3424307,67390,2385292,2661595,1506662,15942,168327753,3664248252,740786,101186,49417,0,37112,14065845
C. furfuracea (4),87873645,19246,27596,45136,7265204,6449737,973960,59732,50582137,354750,9724,471443,31913500,2848684,0,2380131,54127,2582082,1651032,405596,0,43946530,4676037068,600297,354181,0,0,102696,10716176
C. stemonea (1),1496169,443094,34577869,54930,719373,712881,342357,79738,9300301,1148068,166760,699067,33951,116141754,19162,423025,0,265742,212521,93898,0,179388,17529968,49119,723660,47086,1232047,24060,766143
C. stemonea (2),52568867,1398762,51559,271273,2582249,10499591,2241045,384897,140907207,8774203,167900,18026288,1587089,3077969283,82262,899819,0,907806,2924801,1893145,0,857305,7496929,135881,17350493,1282463,74603781,755851,4180
C. trichialis (1),25892988,56100,22966,3673837,10546331,10915442,537255,355752,19199447,1463647,871714,3443250,823104,43461153,1086209,657874,52325,2046598,1798858,986372,536300,115958,2047854,2138780,253619,686595,15928,6753331,0
C. trichialis (2),48269539,82098,2078630,1960603,1702600,6393459,2375915,76864,4459430,312657,1622598,1677139,1048194,249909459,115670,1156136,82213,1335162,497248,481361,193058,0,13618171,380148,438373,266396,941567,4912321,0
C. trichialis (3),387146175,8486,36136,1860608,9712714,17318940,3167627,69481,17384062,1086790,2995752,2268720,145586327,29441954,905794,26325648,21235,1588686,2001096,1035430,726493,381618,2145217,627117,309202,147740,29962,3569556,0
C. trichialis (4),29608941,18006,468172,86024,11697165,5133451,203478,60038,28691459,1129520,116073,4046414,16166171,64341088,643914,1785757,19176,1392346,513120,2141112,48452,31499093,6205315,67085,131977,81490,12338,736181,4978
C. trichialis (5),53346026,8754,1832099,2419672,9691375,16697441,52773,570135,13216467,1019389,19909163,3314096,1588770,22655566,868773,1127406,100040,2663958,603840,656887,0,492491,16665236,1583047,579089,2312,0,36468360,0
C. trichialis (6),113891139,137096,4521975,2463627,12195719,38456696,117874,1258523,28084866,1725838,2020190,3124648,2360306,45381693,1210334,2279584,304118,7728696,4557512,1042573,4514207,2820626,5302146,1479922,1311705,1993,855697,8151311,0
M. subtile (1),34949760,16210,280044,74962,179979,4519264,190415,43215,373233,1498774,68204,4002254,4965171,3224276,0,2558571,83975,3045734,808122,1036510,7875,2761583,14453962,180079,581662,279555,3626,398563,0
M. subtile (2),157186312,0,0,133659,1356661,19067992,423076,205756,5909792,55790,638614,1907325,25528423,8322546,0,5642903,4368522,23156172,2756952,2842707,170513,422930,21641859,78331,258694,119697,0,1953289,0
M. subtile (3),49333571,72189,27855,53826,219649,130130,221864,27752,1144134,179104,229382,710594,36684826,2466015,0,2206925,0,357266,115748,485767,69892,1693638,15608425,28240,37072,10643,27440,260721,1872
Fomitopsis sp. (1),3411337,0,0,0,32665408,79480,52900,360206,23400,0,0,295891,174112,697324,0,22226,0,10943969,0,0,0,223278,1565729,9653,0,0,0,0,0
Fomitopsis sp. (2),0,395910,539921,0,0,112564,496241,0,59620,0,0,595660,2155131,400783,0,51815,0,0,10878,243445,0,392854108,1124755,10984,0,0,0,16501,0
Fomitopsis sp. (3),0,0,55276,0,0,32623,0,0,6930,0,0,11269,0,0,0,0,0,0,3499,0,0,0,0,37867,0,0,0,0,0
Penicillium sp. (1),10090588,16862,0,0,503221,131845,9860,834227,44818,23044,0,129097,202003,1505465,0,137850,0,0,3678,138302,0,53784407,2241634,17899,0,6841,0,93393,0
Penicillium sp. (2),5736887,0,0,0,193964,65771,1880454,68237653,28828,0,121925,3595817,3401196,0,0,67165,0,0,0,1892294,27222,425258,361267,187909,0,168751,0,0,0
Penicillium sp. (3),0,0,0,0,5046527,0,104541,139783,99957,3718,0,2071391,882290,0,0,11222595,0,635354,3178,12630,0,177520,2904270,17986,0,0,0,428910,0
Penicillium sp. (4),5368276,31035,36257,0,9160662,227652,132140,0,19572,0,0,52247,1766510,0,0,15118,0,249827,3444,177130,0,301830896,2319945,12990,0,13579,0,305991,0
Penicillium sp. (5),0,0,0,0,0,89988,0,14820,9753,2710,0,2796476,485164,0,0,0,0,0,0,18930,0,38413,0,15608,0,0,0,7849,0
Penicillium sp. (6),0,73227,0,0,166707,0,6374725,30580,31980,0,0,355698,399063,0,0,53026,0,36022,0,1967654,0,120002837,467303,7282991,0,0,0,0,0
Penicillium sp. (7),0,119898,1181893,0,184308,0,1228112,18541,133547,0,0,385948,932268,0,0,53185,0,31942,0,3324839,0,942954561,2766744,6400512,0,59917,0,0,0
Penicillium sp. (8),19227363,49362,0,0,47888,61262,1378118,3989,514654,220553,1233466,961501,350202,36580405,0,15649358,0,29840,181502,770861,130616,1060462900,7755930,22087,19445,0,141780,4469032,0
Penicillium sp. (9),0,97577,392776,0,118020,0,11556,13423,34317,0,0,440226,49070,0,0,46883,0,0,0,146575,0,298979594,954592,13642,0,0,0,0,0
Penicillium sp. (10),0,0,0,0,83295,36077,0,0,21191,0,0,913303,0,0,0,23271,0,0,0,0,0,0,0,15578,0,0,0,0,0
Penicillium sp. (11),0,152318,589894,0,0,0,642646,0,51155,0,0,347446,0,0,0,10145,0,0,0,164869,0,546839681,1230557,104944,0,0,0,0,0
