Sample,C+AC0-FOMI+AC0-AGAR+AC0-POT+AC0-63,C+AC0-FOMI+AC0-AGAR+AC0-POT+AC0-64,C+AC0-PENI+AC0-AGAR+AC0-OAT+AC0-65,C+AC0-PENI+AC0-AGAR+AC0-OAT+AC0-66,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-56,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-57,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-62,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-50,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-52,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-59,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-60,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-61,C+AC0-UNKN+AC0-AGAR+AC0-POT+AC0-55,C+AC0-UNKN+AC0-AGAR+AC0-POT+AC0-67,F+AC0-MSUB+AC0-WOOD+AC0-EPB+AC0-20,F+AC0-MSUB+AC0-WOOD+AC0-EPB+AC0-22,F+AC0-MSUB+AC0-WOOD+AC0-SAB+AC0-28,L+AC0-CBRA+AC0-BARK+AC0-BOJ+AC0-02,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-01,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-11,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-12,L+AC0-CFUR+AC0-WOOD+AC0-BOJ+AC0-15,L+AC0-CSTE+AC0-BARK+AC0-UKN+AC0-42,L+AC0-CSTE+AC0-WOOD+AC0-EPB+AC0-39,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-06,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-08,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-21,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-36,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-46,L+AC0-CTRI+AC0-WOOD+AC0-BOJ+AC0-26
neg10004,0,0,0,0,0,0,140117,0,0,0,0,0,8590,0,61438,50132,12472,3896179,829465,15395072,20338840,3817036,17949,31097,33116007,8994271,17416737,41436118,26387301,3490420
neg10012,10193,0,15862,15186,89282,24153,0,0,53988,37458,5511944,12242091,0,5633,73191,47430,4159,519140,1120425,536287,838746,522096,0,0,202961,539949,150324,265957,182716,235336
neg10022,0,0,0,0,0,0,0,0,6377,0,0,0,0,0,603275,186384,157410,117292,490844,612259,552770,511545,776614,486592,4891170,688557,764178,915295,3298400,662907
neg10024,0,0,0,0,0,0,10017,0,0,0,0,0,0,0,10025,8510,7569,80946,89335,660268,174000,15201,73959,35867,239923,39793,143179,43344,99829,2007175
neg10025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225322,1655470,1093383,444563,508630,150740,855558,1925589,1625269,480718,466945,284767,191193,106534,244963,936025
neg10028,0,0,18909,10210,13532,11068,0,0,0,75493,7749,47330,0,77375,140816,245169,311624,319049,743834,141558,428992,1198837,404108,1222801,540567,146318,112409,541501,706583,8130708
neg10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682741,134604,53637,17671,328565,42710,3330554,1004044,785367,548593,895728,205637,79605,561704,864679,748028
neg10045,0,0,0,3830,17746,146563,0,3176,40019,0,3201,8783,3705,548628,1157681,1196016,226474,101345,173798,44849,487686,1062979,1104333,368328,146767,112957,110810,91479,412553,360329
neg10052,0,0,0,13180,14851,6743,0,0,0,0,0,0,0,0,1703487,716506,247300,111009,1206590,186853,381904,954185,816139,1060205,122668,57315,61277,54527,234703,1399644
neg10063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20612,0,0,0
neg10074,0,0,0,0,0,0,0,0,12372,0,2474,2959,0,0,2220203,5574878,3682239,282989,639882,42335,304139,690325,981062,973414,179222,76094,175372,131512,396135,1594343
neg10085,0,8451,0,75746,0,0,0,18541,19295,0,107516,156856,8477,23720,67572,85678,46992,29678,365182,836566,303343,345320,365513,61677,763006,123189,567568,703176,1028848,43445
neg10086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739528,7764,275209,352439,14751,0,0,0,0,0,1689279
