TaxaNames,Mode,Mass,Superclass,Subclass,Specificclass,Pathway,Bestname
neg10,negative,507.1226,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Uncertain,Alkaloids,NA
neg10004,negative,313.1462,Phenylpropanoids and polyketides,Linear diarylheptanoids,Curcuminoids,Shikimates and Phenylpropanoids,Linear diarylheptanoids
neg10012,negative,699.3829,Organic acids and derivatives,Amino acids peptides and analogues,Peptides,Amino acids and Peptides,NA
neg10022,negative,307.0108,Organic acids and derivatives,Amino acids peptides and analogues,L alpha amino acids,Amino acids and Peptides,Poly(ribosylurea phosphate)
neg10024,negative,303.0159,Benzenoids,Anthracenecarboxylic acids and derivatives,Anthracenecarboxylic acids,Shikimates and Phenylpropanoids,NA
neg10025,negative,219.0307,Phenylpropanoids and polyketides,Uncertain,Coumarins and derivatives,Shikimates and Phenylpropanoids,Oprea1 357602
neg10028,negative,301.1302,Organic acids and derivatives,Medium chain hydroxy acids and derivatives,Medium chain hydroxy acids and derivatives,Uncertain,NA
neg10037,negative,283.0107,Benzenoids,Uncertain,Benzene and substituted derivatives,Shikimates and Phenylpropanoids,2 methyl 5 (phenylsulfonyl)thiophene
neg10045,negative,349.0579,Organoheterocyclic compounds,2 benzopyrans,2 benzopyrans,Shikimates and Phenylpropanoids,Benzophenones
neg10052,negative,393.084,Benzenoids,Benzoic acids and derivatives,Gallic acid and derivatives,Shikimates and Phenylpropanoids,Fungal DPEs
neg10063,negative,272.9374,Benzenoids,Benzoic acids and derivatives,Dichlorobenzoic acids,Shikimates and Phenylpropanoids,6 7 dichloro 4 5 8 trihydroxynaphthalene 1 2 dione
neg10074,negative,291.0159,Organoheterocyclic compounds,Uncertain,Phthalic anhydrides,Shikimates and Phenylpropanoids,Furocoumarins
neg10085,negative,152.0359,Benzenoids,Benzoic acids and derivatives,Salicylamides,Alkaloids,N 3 dihydroxybenzamide
neg10086,negative,595.2587,Benzenoids,Biphenyls and derivatives,Biphenyls and derivatives,Alkaloids,3 +AFs-18 (2 carboxyethyl) 8 13 bis(1 hydroxyethyl) 3 7 12 17 tetramethylporphyrin 2 yl+AF0-propanoic acid
neg10104,negative,325.121,Benzenoids,Anilides,Aromatic anilides,Alkaloids,Oprea1 797674
neg10106,negative,501.36,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Ursane and Taraxastane triterpenoids
neg1011,negative,631.3665,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lupane triterpenoids
neg10116,negative,280.9955,Organic acids and derivatives,Carboxylic acids,Carboxylic acids,Shikimates and Phenylpropanoids,1 3 Benzenediol 4 4 dithiobis 
