Type,Substrate,Sample,Bacteria,Fungi,Metabolites
Culture,Agar,63,4.191058 ,2.167179 ,4.663956 
Culture,Agar,64,2.820607 ,2.167786 ,5.349225 
Culture,Agar,65,4.520005 ,1.718602 ,4.712004 
Culture,Agar,66,5.343728 ,2.708334 ,4.323953 
Culture,Agar,56,5.238515 ,2.262163 ,4.229729 
Culture,Agar,57,4.590385 ,2.262702 ,4.492021 
Culture,Agar,62,5.580907 ,2.262438 ,5.420411 
Culture,Agar,50,5.367955 ,2.852705 ,4.302237 
Culture,Agar,52,5.461549 ,3.567380 ,4.671440 
Culture,Agar,59,4.736196 ,1.717548 ,5.032984 
Culture,Agar,60,5.203364 ,1.719298 ,5.476630 
Culture,Agar,61,5.225331 ,1.715044 ,5.341532 
Culture,Agar,55,5.057035 ,2.387439 ,4.666706 
Culture,Agar,67,4.952461 ,2.075363 ,4.658724 
Fungus,Wood,20,4.118276 ,3.360857 ,6.316908 
Fungus,Wood,22,5.436280 ,3.313327 ,6.233332 
Fungus,Wood,28,5.338506 ,4.044295 ,6.010956 
Lichen,Bark,2,4.870588 ,3.430675 ,6.172031 
Lichen,Bark,1,5.177921 ,3.665564 ,5.875330 
Lichen,Bark,11,5.286491 ,3.743208 ,5.887999 
Lichen,Bark,12,5.015572 ,3.368709 ,5.860348 
Lichen,Wood,15,5.112616 ,4.158363 ,5.860348 
Lichen,Bark,42,4.786123 ,2.788678 ,5.991818 
Lichen,Wood,39,5.061761 ,3.840695 ,6.428822 
Lichen,Bark,6,5.124621 ,2.971013 ,6.546347 
Lichen,Bark,8,5.244155 ,3.060592 ,6.172040 
Lichen,Bark,21,4.441328 ,2.980239 ,6.286571 
Lichen,Bark,36,5.605196 ,3.865624 ,6.381652 
Lichen,Bark,46,3.508483 ,2.872081 ,6.550917 
Lichen,Wood,26,5.707898 ,2.977501 ,6.362418 
