OTU,domain,phylum,class,order,family,genus
ASV1,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV2,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV3,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV4,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV5,NA,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis
ASV6,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV7,NA,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis
ASV8,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Other Aspergillaceae
ASV10,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV11,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV12,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV14,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV15,NA,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis
ASV16,NA,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis
ASV17,NA,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Other Fomitopsidaceae
ASV18,NA,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis
ASV19,NA,Ascomycota,Dothideomycetes,Dothideomycetes,Teratosphaeriaceae,Devriesia
ASV20,NA,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca
ASV22,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV23,NA,Ascomycota,Dothideomycetes,Dothideomycetes,Teratosphaeriaceae,Devriesia
ASV24,NA,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca
ASV25,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV27,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV30,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV32,NA,Ascomycota,NA,Ascomycota,NA,Others
ASV33,NA,Ascomycota,Dothideomycetes,Dothideomycetes,Teratosphaeriaceae,Devriesia
ASV35,NA,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca
ASV41,NA,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis
ASV42,NA,Ascomycota,NA,Ascomycota,NA,Others
ASV43,NA,Ascomycota,Dothideomycetes,Dothideomycetes,NA,Other Dothideomycetes
ASV45,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium
ASV46,NA,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca
ASV48,NA,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca
ASV50,NA,Ascomycota,Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca
ASV51,NA,Ascomycota,NA,Ascomycota,NA,Others
