	genus	guild	confidenceRanking	C-FOMI-AGAR-POT-63-ITS_R1.fastq.gz	C-FOMI-AGAR-POT-64-ITS_R1.fastq.gz	C-PENI-AGAR-OAT-65-ITS_R1.fastq.gz	C-PENI-AGAR-OAT-66-ITS_R1.fastq.gz	C-PENI-AGAR-POT-56-ITS_R1.fastq.gz	C-PENI-AGAR-POT-57-ITS_R1.fastq.gz	C-PENI-AGAR-POT-62-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-50-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-52-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-59-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-60-ITS_R1.fastq.gz	C-UNKN-AGAR-OAT-61-ITS_R1.fastq.gz	C-UNKN-AGAR-POT-55-ITS_R1.fastq.gz	C-UNKN-AGAR-POT-67-ITS_R1.fastq.gz	F-MSUB-WOOD-EPB-20-ITS_R1.fastq.gz	F-MSUB-WOOD-EPB-22-ITS_R1.fastq.gz	F-MSUB-WOOD-SAB-28-ITS_R1.fastq.gz	L-CBRA-BARK-BOJ-02-ITS_R1.fastq.gz	L-CFUR-BARK-BOJ-01-ITS_R1.fastq.gz	L-CFUR-BARK-BOJ-11-ITS_R1.fastq.gz	L-CFUR-BARK-BOJ-12-ITS_R1.fastq.gz	L-CFUR-WOOD-BOJ-15-ITS_R1.fastq.gz	L-CSTE-BARK-UKN-42-ITS_R1.fastq.gz	L-CSTE-WOOD-EPB-39-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-06-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-08-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-21-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-36-ITS_R1.fastq.gz	L-CTRI-BARK-BOJ-46-ITS_R1.fastq.gz	L-CTRI-WOOD-BOJ-26-ITS_R1.fastq.gz
ASV726	Acremoniopsis	Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,57090794237236	0	0	0	0	0	0
ASV404	Acrodontium	Plant Pathogen-Undefined Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,12039464002035	0	0	0	0	0	5,62239243585987	0	0	0	0
ASV620	Blastobotrys	Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,93039622524525	0	0	0	0	0	0	0	0
ASV681	Blastobotrys	Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,72694706767596	0	0	0	0	0	0	0	0
ASV743	Blastobotrys	Undefined Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,49002172725006	0	0	0	0	0	0	0	0
ASV224	Botryobasidium	Undefined Saprotroph-Wood Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,26055356845635	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV266	Botryobasidium	Undefined Saprotroph-Wood Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,9389231460089	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV307	Botryobasidium	Undefined Saprotroph-Wood Saprotroph	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,47834953425755	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV281	Bryostigma	Lichen Parasite-Lichenized	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,78572061786361	0	0	0	0	0	0	0	0	0	0	0	0
ASV314	Bryostigma	Lichen Parasite-Lichenized	Probable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,43548875882681	0	0	0	0	0	0	0	0	0	0	0	0
ASV888	Calcarisporium	Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph	Possible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,07707245614645	0	0	0	0	0	0	0	0	0	0
ASV473	Capnodiales_gen_Incertae_sedis	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,22286492616053	0	0	0	0	0	0	0	4,39302662627441	0	0	0	0	0	0
