"";"domain";"phylum";"class";"order";"family";"genus";"species";"Taxonomy";"taxon";"guid";"mbNumber";"taxonomicLevel";"trophicMode";"guild";"confidenceRanking";"growthForm";"trait";"notes";"citationSource"
"ASV1";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV2";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV3";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV4";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV5";NA;"Basidiomycota";"Agaricomycetes";"Polyporales";"Fomitopsidaceae";"Fomitopsis";NA;"NA;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;Fomitopsis;NA";"Fomitopsidaceae";"1CB1CD22-36B9-11D5-9548-00D0592D548C";"81772";"9";"Pathotroph-Saprotroph";"Plant Pathogen-Wood Saprotroph";"Probable";"Polyporoid";"Brown Rot";"Most species are parasitic on woody plants, causing brown rots (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV6";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV7";NA;"Basidiomycota";"Agaricomycetes";"Polyporales";"Fomitopsidaceae";"Fomitopsis";NA;"NA;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;Fomitopsis;NA";"Fomitopsidaceae";"1CB1CD22-36B9-11D5-9548-00D0592D548C";"81772";"9";"Pathotroph-Saprotroph";"Plant Pathogen-Wood Saprotroph";"Probable";"Polyporoid";"Brown Rot";"Most species are parasitic on woody plants, causing brown rots (Cannon & Kirk 2007)";"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
"ASV8";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";NA;NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;NA;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV10";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
"ASV11";NA;"Ascomycota";"Eurotiomycetes";"Eurotiales";"Aspergillaceae";"Penicillium";NA;"NA;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;NA";"Eurotiales";"1CB1CE25-36B9-11D5-9548-00D0592D548C";"90472";"7";"Saprotroph";"Undefined Saprotroph";"Possible";"Microfungus";"NULL";"NULL";"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158 ((https://doi.org/10.1111/nph.13426))"
