Compound,Penicillium sp.,Fomitopsis sp.,M. subtile,C. furfuracea,C. brachypoda,C. stemonea,C. trichialis
Atranorin,4,2,5,6,4,4,6
Baeomycesic acid,1,1,1,4,1,2,1
Barbatic acid,2,1,1,7,1,4,3
Caftaric acid,0,0,1,1,1,1,3
Cantharidin,4,4,2,4,1,2,4
Chloroatranorin,1,1,4,3,1,3,4
Colensoic acid,3,1,1,3,2,2,3
Ethanone,4,1,1,1,1,1,2
Evernic acid,1,1,3,5,1,5,5
Gyrophoric acid,1,0,2,2,1,3,3
Isousnic acid,2,0,1,2,1,1,4
Lecanoric acid,3,1,3,3,1,3,3
Lobaric acid,3,2,4,5,2,2,5
Obtusatic acid,4,2,3,3,1,7,5
Ovoic acid,0,0,0,0,0,1,2
Perlatolic acid,4,1,3,3,2,2,4
Physodalic acid,0,0,2,1,1,0,1
Physodic acid,1,3,4,3,2,2,3
Proatranorin III,1,1,2,3,1,2,3
Protocetraric acid,3,1,2,2,1,2,3
Psoromic acid,1,0,1,1,0,0,3
Pulvinic acid,7,5,2,5,5,2,4
Pulvinic acid dilactone,4,2,4,7,5,4,4
Pyridoxic acid,3,1,1,2,1,1,3
Squamatic acid,1,0,1,1,1,3,2
Thamnolic acid,1,0,1,3,0,2,2
Umbilicaric acid,1,0,1,1,0,4,2
Usnic acid,3,1,2,4,1,1,4
Vulpinic acid,0,0,1,4,2,1,1
