name+AF8-sirius,Pathway,Class,Subclass
neg19593,Alkaloids,Amines,Amines
neg4506,Alkaloids,Amines,Amines
pos1008,Alkaloids,Amines,Amines
pos1077,Alkaloids,Amines,Amines
pos1085,Alkaloids,Amines,Amines
pos1170,Alkaloids,Amines,Amines
pos1181,Alkaloids,Amines,Amines
pos2242,Alkaloids,Amines,Amines
pos348,Alkaloids,Amines,Amines
pos3688,Alkaloids,Amines,Amines
pos395,Alkaloids,Amines,Amines
pos4463,Alkaloids,Amines,Amines
pos4772,Alkaloids,Amines,Amines
pos5213,Alkaloids,Amines,Amines
pos5870,Alkaloids,Amines,Amines
pos631,Alkaloids,Amines,Amines
pos6688,Alkaloids,Amines,Amines
pos7083,Alkaloids,Amines,Amines
pos7825,Alkaloids,Amines,Amines
pos8323,Alkaloids,Amines,Amines
pos864,Alkaloids,Amines,Amines
neg10255,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg10291,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg10349,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg10380,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg10405,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg10478,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1068,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg10805,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg10816,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1128,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg11617,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg11845,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1189,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1193,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1194,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg11965,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg12192,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg12210,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1272,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg12725,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg12805,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg12986,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg12999,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13016,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13281,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13290,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13294,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13312,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13314,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13322,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13328,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13330,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13331,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13338,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13342,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13351,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13352,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13353,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13356,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13372,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13382,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13383,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13421,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13435,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13461,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13492,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13651,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1369,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13730,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13810,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg13916,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg14333,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1436,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1437,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1439,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1448,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg14658,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg14738,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg14909,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1507,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1549,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg15615,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg15616,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1568,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg15715,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg15915,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1597,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg15981,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1612,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1616,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg16927,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg17096,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1723,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg17268,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg17327,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg17433,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg17651,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1789,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg18255,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg18419,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg18575,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg18909,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg18997,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg19472,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg19508,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg19599,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg19707,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg19794,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg1989,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg20099,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2049,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2052,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg20658,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2073,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg20934,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2254,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg226,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2283,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2411,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2459,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2603,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2776,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg2791,Amino acids and Peptides,Amino acids,Amino acids and derivatives
