OTU,Phylum,Order
ASV31,Acidobacteriota,Acidobacteriales
ASV33,Actinobacteriota,Others
ASV35,Actinobacteriota,Others
ASV39,Actinobacteriota,Others
ASV63,Proteobacteria,Acetobacterales
ASV64,Actinobacteriota,Others
ASV65,Actinobacteriota,Others
ASV66,Actinobacteriota,Others
ASV67,Actinobacteriota,Others
ASV69,Actinobacteriota,Others
ASV74,Acidobacteriota,Acidobacteriales
ASV76,Actinobacteriota,Others
ASV77,Actinobacteriota,Others
ASV78,Actinobacteriota,Others
ASV80,Actinobacteriota,Others
ASV81,Actinobacteriota,Solirubrobacterales
ASV82,Proteobacteria,Acetobacterales
ASV83,Proteobacteria,Acetobacterales
ASV84,Proteobacteria,Acetobacterales
ASV85,Acidobacteriota,Acidobacteriales
ASV86,Actinobacteriota,Others
ASV88,Proteobacteria,Rhizobiales
ASV89,Actinobacteriota,Others
ASV90,Actinobacteriota,Others
ASV91,Proteobacteria,Rhizobiales
ASV92,Actinobacteriota,Solirubrobacterales
ASV94,Actinobacteriota,Solirubrobacterales
ASV97,Actinobacteriota,Solirubrobacterales
ASV101,Actinobacteriota,Others
ASV102,Actinobacteriota,Others
ASV103,Actinobacteriota,Solirubrobacterales
ASV104,Actinobacteriota,Others
ASV105,Proteobacteria,Acetobacterales
ASV106,Acidobacteriota,Acidobacteriales
ASV107,Proteobacteria,Rhizobiales
ASV108,Proteobacteria,Acetobacterales
ASV109,Proteobacteria,Acetobacterales
ASV110,Acidobacteriota,Acidobacteriales
ASV111,Acidobacteriota,Acidobacteriales
ASV112,Proteobacteria,Acetobacterales
ASV113,Proteobacteria,Acetobacterales
ASV115,Acidobacteriota,Acidobacteriales
ASV116,Actinobacteriota,Others
ASV117,Proteobacteria,Rhizobiales
ASV118,Actinobacteriota,Others
ASV119,Proteobacteria,Acetobacterales
ASV121,Proteobacteria,Acetobacterales
ASV125,Acidobacteriota,Acidobacteriales
ASV126,Actinobacteriota,Solirubrobacterales
ASV129,Acidobacteriota,Acidobacteriales
ASV130,Proteobacteria,Acetobacterales
ASV131,Proteobacteria,Acetobacterales
ASV133,Actinobacteriota,Solirubrobacterales
ASV134,Proteobacteria,Acetobacterales
ASV136,Actinobacteriota,Solirubrobacterales
ASV137,Actinobacteriota,Others
ASV138,Proteobacteria,Sphingomonadales
ASV139,Actinobacteriota,Corynebacteriales
ASV141,Actinobacteriota,Others
ASV142,Actinobacteriota,Corynebacteriales
ASV143,Proteobacteria,Acetobacterales
ASV144,Proteobacteria,Rhizobiales
ASV145,Acidobacteriota,Acidobacteriales
ASV146,Actinobacteriota,Solirubrobacterales
ASV147,Proteobacteria,Acetobacterales
ASV148,Proteobacteria,Rhizobiales
ASV150,Actinobacteriota,Solirubrobacterales
ASV151,Proteobacteria,Rhizobiales
ASV152,Proteobacteria,Acetobacterales
ASV153,Acidobacteriota,Acidobacteriales
ASV156,Proteobacteria,Acetobacterales
ASV157,Proteobacteria,Acetobacterales
ASV158,Proteobacteria,Acetobacterales
ASV159,Acidobacteriota,Acidobacteriales
ASV160,Proteobacteria,Acetobacterales
ASV161,Proteobacteria,Acetobacterales
ASV162,Actinobacteriota,Solirubrobacterales
ASV163,Proteobacteria,Acetobacterales
ASV164,Actinobacteriota,Solirubrobacterales
ASV165,Proteobacteria,Acetobacterales
ASV168,Proteobacteria,Acetobacterales
ASV169,Proteobacteria,Acetobacterales
ASV170,Actinobacteriota,Others
ASV171,Actinobacteriota,Solirubrobacterales
ASV172,Proteobacteria,Rhizobiales
ASV173,Actinobacteriota,Others
ASV174,Actinobacteriota,Pseudonocardiales
ASV175,Proteobacteria,Rhizobiales
ASV176,Actinobacteriota,Micrococcales
ASV177,Proteobacteria,Rhizobiales
ASV178,Proteobacteria,Rhizobiales
ASV179,Acidobacteriota,Acidobacteriales
ASV180,Proteobacteria,Sphingomonadales
ASV181,Actinobacteriota,Solirubrobacterales
ASV182,Actinobacteriota,Pseudonocardiales
ASV183,Actinobacteriota,Solirubrobacterales
ASV184,Actinobacteriota,Micrococcales
ASV185,Proteobacteria,Rhizobiales
ASV186,Acidobacteriota,Acidobacteriales
ASV188,Acidobacteriota,Acidobacteriales
ASV189,Proteobacteria,Acetobacterales
ASV190,Proteobacteria,Rhizobiales
ASV192,Acidobacteriota,Acidobacteriales
ASV193,Actinobacteriota,Micrococcales
ASV194,Actinobacteriota,Corynebacteriales
ASV195,Proteobacteria,Acetobacterales
ASV196,Proteobacteria,Rhizobiales
ASV198,Proteobacteria,Rhizobiales
ASV199,Actinobacteriota,Corynebacteriales
ASV200,Proteobacteria,Acetobacterales
ASV201,Proteobacteria,Acetobacterales
ASV202,Acidobacteriota,Acidobacteriales
ASV204,Acidobacteriota,Acidobacteriales
ASV205,Actinobacteriota,IMCC26256
ASV206,Firmicutes,Bacillales
ASV207,Actinobacteriota,Solirubrobacterales
ASV208,Proteobacteria,Sphingomonadales
ASV209,Actinobacteriota,Others
ASV210,Actinobacteriota,Solirubrobacterales
ASV213,Proteobacteria,Rhizobiales
ASV214,Actinobacteriota,Solirubrobacterales
ASV216,Actinobacteriota,Solirubrobacterales
ASV217,Actinobacteriota,Corynebacteriales
ASV218,Acidobacteriota,Acidobacteriales
ASV219,Actinobacteriota,Solirubrobacterales
ASV220,Actinobacteriota,Micrococcales
ASV221,Acidobacteriota,Acidobacteriales
ASV222,Proteobacteria,Rhizobiales
ASV223,Actinobacteriota,Others
ASV224,Proteobacteria,Rhizobiales
ASV225,Proteobacteria,Acetobacterales
ASV226,Proteobacteria,Caulobacterales
ASV227,Actinobacteriota,Others
ASV228,Proteobacteria,Acetobacterales
ASV229,Actinobacteriota,Solirubrobacterales
ASV230,Actinobacteriota,Corynebacteriales
ASV231,Proteobacteria,Rhizobiales
ASV233,Proteobacteria,Acetobacterales
ASV234,Actinobacteriota,Pseudonocardiales
ASV235,Proteobacteria,Acetobacterales
ASV237,Proteobacteria,Acetobacterales
ASV238,Proteobacteria,Rhizobiales
ASV239,Firmicutes,Bacillales
ASV240,Proteobacteria,Acetobacterales
ASV241,Proteobacteria,Acetobacterales
ASV242,Actinobacteriota,Others
ASV243,Proteobacteria,Acetobacterales
ASV245,Proteobacteria,Others
ASV246,Proteobacteria,Rhizobiales
ASV247,Actinobacteriota,Solirubrobacterales
ASV248,Actinobacteriota,Pseudonocardiales
ASV249,Actinobacteriota,Solirubrobacterales
ASV250,Proteobacteria,Acetobacterales
ASV251,Proteobacteria,Acetobacterales
ASV252,Acidobacteriota,Acidobacteriales
ASV253,Proteobacteria,Rhizobiales
ASV254,Acidobacteriota,Acidobacteriales
ASV256,Proteobacteria,Rhizobiales
ASV257,Actinobacteriota,Others
ASV258,Acidobacteriota,Acidobacteriales
ASV259,Actinobacteriota,Micrococcales
ASV260,Actinobacteriota,Others
ASV261,Firmicutes,Bacillales
ASV262,Proteobacteria,Rhizobiales
ASV263,Acidobacteriota,Bryobacterales
ASV264,Actinobacteriota,Solirubrobacterales
ASV265,Acidobacteriota,Acidobacteriales
ASV267,Actinobacteriota,Solirubrobacterales
ASV268,Actinobacteriota,Others
ASV269,Proteobacteria,Acetobacterales
