OTU,Phylum,Order
ASV31,Acidobacteriota,Acidobacteriales
ASV33,Actinobacteriota,Others
ASV35,Actinobacteriota,Others
ASV39,Actinobacteriota,Others
ASV63,Proteobacteria,Acetobacterales
ASV64,Actinobacteriota,Others
ASV65,Actinobacteriota,Others
ASV66,Actinobacteriota,Others
ASV67,Actinobacteriota,Others
ASV69,Actinobacteriota,Others
ASV74,Acidobacteriota,Acidobacteriales
ASV76,Actinobacteriota,Others
ASV77,Actinobacteriota,Others
ASV78,Actinobacteriota,Others
ASV80,Actinobacteriota,Others
ASV81,WPS-2,WPS-2
ASV82,Proteobacteria,Acetobacterales
ASV83,Proteobacteria,Acetobacterales
ASV84,Proteobacteria,Acetobacterales
ASV85,Acidobacteriota,Acidobacteriales
ASV86,Actinobacteriota,Others
ASV88,Verrucomicrobiota,Chthoniobacterales
ASV89,Actinobacteriota,Others
ASV90,Actinobacteriota,Others
ASV91,Verrucomicrobiota,Chthoniobacterales
ASV92,WPS-2,WPS-2
ASV94,WPS-2,WPS-2
ASV97,WPS-2,WPS-2
ASV101,Actinobacteriota,Others
ASV102,Actinobacteriota,Others
ASV103,WPS-2,WPS-2
ASV104,Actinobacteriota,Others
ASV105,Proteobacteria,Acetobacterales
ASV106,Acidobacteriota,Acidobacteriales
ASV107,Verrucomicrobiota,Chthoniobacterales
ASV108,Proteobacteria,Acetobacterales
ASV109,Proteobacteria,Acetobacterales
ASV110,Acidobacteriota,Acidobacteriales
ASV111,Acidobacteriota,Acidobacteriales
ASV112,Proteobacteria,Acetobacterales
ASV113,Proteobacteria,Acetobacterales
ASV115,Acidobacteriota,Acidobacteriales
ASV116,Actinobacteriota,Others
ASV117,Verrucomicrobiota,Chthoniobacterales
ASV118,Actinobacteriota,Others
ASV119,Proteobacteria,Acetobacterales
ASV121,Proteobacteria,Acetobacterales
ASV125,Acidobacteriota,Acidobacteriales
ASV126,WPS-2,WPS-2
ASV129,Acidobacteriota,Acidobacteriales
ASV130,Proteobacteria,Acetobacterales
ASV131,Proteobacteria,Acetobacterales
ASV133,WPS-2,WPS-2
ASV134,Proteobacteria,Acetobacterales
ASV136,WPS-2,WPS-2
ASV137,Actinobacteriota,Others
ASV138,Proteobacteria,Sphingomodales
ASV139,Actinobacteriota,Corynebacteriales
ASV141,Actinobacteriota,Others
ASV142,Actinobacteriota,Corynebacteriales
ASV143,Proteobacteria,Acetobacterales
ASV144,Verrucomicrobiota,Chthoniobacterales
ASV145,Acidobacteriota,Acidobacteriales
ASV146,WPS-2,WPS-2
ASV147,Proteobacteria,Acetobacterales
ASV148,Verrucomicrobiota,Chthoniobacterales
ASV150,WPS-2,WPS-2
ASV151,Verrucomicrobiota,Chthoniobacterales
ASV152,Proteobacteria,Acetobacterales
ASV153,Acidobacteriota,Acidobacteriales
ASV156,Proteobacteria,Acetobacterales
ASV157,Proteobacteria,Acetobacterales
ASV158,Proteobacteria,Acetobacterales
ASV159,Acidobacteriota,Acidobacteriales
ASV160,Proteobacteria,Acetobacterales
ASV161,Proteobacteria,Acetobacterales
ASV162,WPS-2,WPS-2
ASV163,Proteobacteria,Acetobacterales
ASV164,WPS-2,WPS-2
ASV165,Proteobacteria,Acetobacterales
ASV168,Proteobacteria,Acetobacterales
ASV169,Proteobacteria,Acetobacterales
ASV170,Actinobacteriota,Others
ASV171,WPS-2,WPS-2
ASV172,Verrucomicrobiota,Chthoniobacterales
ASV173,Actinobacteriota,Others
ASV174,Actinobacteriota,Pseudonocardiales
ASV175,Verrucomicrobiota,Chthoniobacterales
ASV176,Actinobacteriota,Micrococcales
ASV177,Verrucomicrobiota,Chthoniobacterales
ASV178,Verrucomicrobiota,Chthoniobacterales
ASV179,Acidobacteriota,Acidobacteriales
ASV180,Proteobacteria,Sphingomodales
ASV181,WPS-2,WPS-2
ASV182,Actinobacteriota,Pseudonocardiales
ASV183,WPS-2,WPS-2
ASV184,Actinobacteriota,Micrococcales
ASV185,Verrucomicrobiota,Chthoniobacterales
ASV186,Acidobacteriota,Acidobacteriales
ASV188,Acidobacteriota,Acidobacteriales
ASV189,Proteobacteria,Acetobacterales
ASV190,Verrucomicrobiota,Chthoniobacterales
ASV192,Acidobacteriota,Acidobacteriales
ASV193,Actinobacteriota,Micrococcales
ASV194,Actinobacteriota,Corynebacteriales
ASV195,Proteobacteria,Acetobacterales
ASV196,Verrucomicrobiota,Chthoniobacterales
ASV198,Verrucomicrobiota,Chthoniobacterales
ASV199,Actinobacteriota,Corynebacteriales
ASV200,Proteobacteria,Acetobacterales
ASV201,Proteobacteria,Acetobacterales
ASV202,Acidobacteriota,Acidobacteriales
ASV204,Acidobacteriota,Acidobacteriales
ASV205,Actinobacteriota,IMCC26256
ASV206,Firmicutes,Paenibacillales
ASV207,WPS-2,WPS-2
ASV208,Proteobacteria,Sphingomodales
ASV209,Actinobacteriota,Others
ASV210,WPS-2,WPS-2
ASV213,Verrucomicrobiota,Chthoniobacterales
ASV214,WPS-2,WPS-2
ASV216,WPS-2,WPS-2
ASV217,Actinobacteriota,Corynebacteriales
ASV218,Acidobacteriota,Acidobacteriales
ASV219,WPS-2,WPS-2
ASV220,Actinobacteriota,Micrococcales
ASV221,Acidobacteriota,Acidobacteriales
ASV222,Verrucomicrobiota,Chthoniobacterales
ASV223,Actinobacteriota,Others
ASV224,Verrucomicrobiota,Chthoniobacterales
ASV225,Proteobacteria,Acetobacterales
ASV226,Proteobacteria,Caulobacterales
ASV227,Actinobacteriota,Others
ASV228,Proteobacteria,Acetobacterales
ASV229,WPS-2,WPS-2
ASV230,Actinobacteriota,Corynebacteriales
ASV231,Verrucomicrobiota,Chthoniobacterales
ASV233,Proteobacteria,Acetobacterales
ASV234,Actinobacteriota,Pseudonocardiales
ASV235,Proteobacteria,Acetobacterales
ASV237,Proteobacteria,Acetobacterales
ASV238,Verrucomicrobiota,Chthoniobacterales
ASV239,Firmicutes,Paenibacillales
ASV240,Proteobacteria,Acetobacterales
ASV241,Proteobacteria,Acetobacterales
ASV242,Actinobacteriota,Others
ASV243,Proteobacteria,Acetobacterales
ASV245,Proteobacteria,Others
ASV246,Verrucomicrobiota,Chthoniobacterales
ASV247,WPS-2,WPS-2
ASV248,Actinobacteriota,Pseudonocardiales
ASV249,WPS-2,WPS-2
ASV250,Proteobacteria,Acetobacterales
ASV251,Proteobacteria,Acetobacterales
ASV252,Acidobacteriota,Acidobacteriales
ASV253,Verrucomicrobiota,Chthoniobacterales
ASV254,Acidobacteriota,Acidobacteriales
ASV256,Verrucomicrobiota,Chthoniobacterales
ASV257,Actinobacteriota,Others
ASV258,Acidobacteriota,Acidobacteriales
ASV259,Actinobacteriota,Micrococcales
ASV260,Actinobacteriota,Others
ASV261,Firmicutes,Paenibacillales
ASV262,Verrucomicrobiota,Chthoniobacterales
ASV263,Acidobacteriota,Others
ASV264,WPS-2,WPS-2
ASV265,Acidobacteriota,Acidobacteriales
ASV267,WPS-2,WPS-2
ASV268,Actinobacteriota,Others
ASV269,Proteobacteria,Acetobacterales
ASV270,Actinobacteriota,Others
ASV272,Actinobacteriota,Others
ASV273,WPS-2,WPS-2
ASV274,WPS-2,WPS-2
